"active_from","active_to","birth_date","college","height","name","position","url","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg.","NBA_fg_per_game","NBA_fga_per_game","NBA_ft.","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg","NCAA_games","NCAA_ppg","height.inches"
2007,2010,"December 3, 1985","University of Connecticut","6-3","Marcus Williams","G","/players/w/willima03.html",205,1.9,0.321,0.6,0.443,0.386,2.1,5.5,0.767,0.7,1,203,5.6,2.1,0.375,0.8,NA,7.2,0.402,2.9,0.791,3,2.4,70,9,75
2008,2009,"November 18, 1986","University of Arizona","6-7","Marcus Williams","F","/players/w/willima04.html",205,0,NA,0,0.318,0.318,0.5,1.7,NA,0,0,13,1.1,2.4,0.356,0.8,NA,11.9,0.475,5.6,0.71,3.7,2.6,63,14.7,79
2006,2018,"June 19, 1986","University of North Carolina","6-9","Marvin Williams","F","/players/w/willima02.html",237,2.5,0.36,0.9,0.498,0.444,3.8,8.5,0.808,2.1,2.6,938,10.5,1.2,0.432,0.5,NA,6.9,0.506,3.5,0.847,4.5,3.8,36,11.3,81
2010,2017,"September 14, 1986","Virginia Military Institute","6-6","Reggie Williams","F","/players/w/willire02.html",205,2.6,0.365,1,0.532,0.456,2.9,6.4,0.75,1,1.3,206,7.8,5.8,0.302,1.8,NA,16.7,0.498,8.3,0.703,6.3,4.4,112,22.8,78
2007,2015,"February 16, 1986","University of Memphis","6-9","Shawne Williams","F","/players/w/willish03.html",225,2.6,0.339,0.9,0.489,0.403,2.1,5.1,0.755,0.6,0.8,314,5.6,4.3,0.312,1.3,NA,10.4,0.416,4.3,0.786,4,3.2,36,13.2,81
2007,2012,"October 21, 1983","Duke University","6-9","Shelden Williams","F","/players/w/willish02.html",250,0,0.222,0,0.463,0.462,1.6,3.5,0.74,1.2,1.6,361,4.5,0.1,0.333,0,NA,8.6,0.572,4.9,0.694,5.7,4,139,13.9,81
2010,2013,"June 28, 1987","University of Louisville","6-6","Terrence Williams","F","/players/w/willite01.html",220,1.2,0.317,0.4,0.439,0.412,2.9,6.9,0.659,1,1.5,153,7.1,4.4,0.32,1.4,NA,10.3,0.4,4.1,0.589,2.6,1.5,140,11.2,78
2006,2011,"February 6, 1984","Texas A&M University","6-7","Antoine Wright","G-F","/players/w/wrighan01.html",210,1.7,0.304,0.5,0.463,0.412,2.1,5,0.674,0.8,1.1,297,5.4,5.5,0.376,2.1,NA,13,0.412,5.4,0.648,4,2.6,87,15.4,79
2006,2007,"July 1, 1984","Indiana University","6-3","Bracey Wright","G","/players/w/wrighbr02.html",210,1.4,0.324,0.5,0.459,0.405,1.7,4.3,0.794,1,1.3,26,5,6.3,0.35,2.2,NA,13.6,0.405,5.5,0.776,5.7,4.4,85,17.6,75
2008,2011,"May 20, 1987","University of Kansas","6-8","Julian Wright","F","/players/w/wrighju01.html",225,0.3,0.262,0.1,0.509,0.499,1.7,3.4,0.584,0.4,0.7,231,3.9,0.2,0.188,0,NA,8,0.555,4.4,0.591,2.5,1.5,71,10.4,80
2008,2018,"June 1, 1985","University of Southern California","6-7","Nick Young","G-F","/players/y/youngni01.html",210,3.9,0.376,1.4,0.493,0.418,4,9.7,0.835,1.9,2.3,715,11.4,2.7,0.368,1,NA,11.9,0.484,5.8,0.764,3.9,3,96,15.5,79
2010,2013,"June 1, 1985","University of Pittsburgh","6-6","Sam Young","F","/players/y/youngsa01.html",220,0.7,0.28,0.2,0.462,0.442,2.2,5.1,0.742,1.1,1.4,249,5.8,2.3,0.356,0.8,NA,10.1,0.498,5,0.692,3.4,2.4,143,13.2,78
2008,2018,"June 21, 1988","Georgia Institute of Technology","6-8","Thaddeus Young","F","/players/y/youngth01.html",221,1.3,0.326,0.4,0.517,0.499,5.8,11.6,0.675,1.4,2.1,820,13.4,3,0.419,1.3,NA,11.9,0.478,5.7,0.743,2.3,1.7,31,14.4,80
2006,2006,"December 2, 1981","Mississippi State University","6-3","Derrick Zimmerman","G","/players/z/zimmede01.html",195,0,NA,0,0.667,0.667,1,1.5,NA,0,0,2,2,1.1,0.268,0.3,NA,5.2,0.477,2.5,0.6,2.6,1.6,127,6.9,75
