"active_from","active_to","birth_date","college","height","name","position","url","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg.","NBA_fg_per_game","NBA_fga_per_game","NBA_ft.","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg","NCAA_games","NCAA_ppg","height.inches"
2005,2014,"December 20, 1981","University of Texas at Austin","6-3","Royal Ivey","G","/players/i/iveyro01.html",200,0.9,0.361,0.3,0.459,0.406,1.3,3.1,0.706,0.5,0.7,492,3.3,1.2,0.338,0.4,NA,6.1,0.455,2.8,0.709,2.6,1.9,133,7.8,75
2006,2018,"October 28, 1983","Georgia Institute of Technology","6-3","Jarrett Jack","G","/players/j/jackja01.html",200,2.1,0.343,0.7,0.48,0.44,3.9,8.9,0.855,2.3,2.7,865,10.8,2.6,0.359,0.9,NA,8.4,0.478,4,0.796,4.5,3.6,101,12.5,75
2010,2010,"March 5, 1986","St. John's University, Cleveland State University","6-3","Cedric Jackson","G","/players/j/jacksce01.html",191,0.5,0.167,0.1,0.325,0.3,0.5,1.7,0.583,0.6,1,12,1.7,2.4,0.305,0.7,NA,7.5,0.391,2.9,0.636,3.5,2.2,125,8.8,75
2009,2011,"November 7, 1985","University of Kansas","6-9","Darnell Jackson","F","/players/j/jacksda01.html",253,0.1,0.235,0,0.456,0.449,0.9,2,0.644,0.4,0.7,138,2.2,0,0.333,0,NA,4.3,0.58,2.5,0.685,2.6,1.8,125,6.8,81
2005,2008,"November 6, 1981","University of Oregon","6-7","Luke Jackson","F","/players/j/jackslu02.html",215,1.2,0.36,0.4,0.426,0.357,1.2,3.2,0.732,0.7,1,73,3.5,3.4,0.402,1.4,NA,11.1,0.461,5.1,0.849,4.7,4,126,15.6,79
2006,2007,"March 5, 1976","University of Maryland","6-4","Sarunas Jasikevicius","G","/players/j/jasiksa01.html",195,2.7,0.355,0.9,0.483,0.397,2.2,5.4,0.908,1.5,1.7,138,6.8,3,0.375,1.1,NA,6,0.437,2.6,0.733,1.8,1.3,120,7.7,76
2010,2014,"August 5, 1985","University of Illinois at Chicago, Robert Morris University (IL)","6-5","Othyus Jeffers","G","/players/j/jeffeot01.html",200,0.2,0.167,0,0.465,0.46,1.2,2.7,0.667,1.2,1.9,37,3.8,0.2,0.167,0,NA,10.6,0.477,5.1,0.607,5.6,3.4,63,13.5,77
2009,2009,"December 15, 1983","University of Arkansas","6-5","Dontell Jefferson","G","/players/j/jeffedo01.html",195,0.3,0.5,0.2,0.523,0.5,1.8,3.7,0.667,1,1.5,6,4.8,1,0.277,0.3,NA,3,0.389,1.2,0.67,1.5,1,62,3.6,77
2007,2008,"February 8, 1983","Florida State University","6-9","Alexander Johnson","F","/players/j/johnsal01.html",240,0,NA,0,0.517,0.517,1.5,2.9,0.672,1.3,2,102,4.3,0.4,0.308,0.1,NA,6.4,0.52,3.3,0.667,4.5,3,92,9.8,81
2010,2018,"February 20, 1987","Wake Forest University","6-9","James Johnson","F","/players/j/johnsja01.html",250,1.5,0.3,0.4,0.515,0.481,3.1,6.5,0.694,1.2,1.8,545,8,2.8,0.296,0.8,NA,11.2,0.515,5.8,0.693,3.6,2.5,61,14.8,81
2009,2012,"August 30, 1984","Alcorn State University, Jackson State University","6-5","Trey Johnson","G","/players/j/johnstr01.html",218,0.1,0.333,0,0.394,0.385,0.9,2.3,0.947,0.8,0.8,23,2.6,4.9,0.382,1.9,NA,16.2,0.429,6.9,0.751,7,5.2,96,21,77
2007,2008,"January 9, 1984","University of Washington","6-7","Bobby Jones","F","/players/j/jonesbo02.html",215,0.7,0.306,0.2,0.483,0.442,1.1,2.6,0.685,0.7,1,91,3.2,1.4,0.367,0.5,NA,6.8,0.501,3.4,0.707,3.5,2.5,125,9.8,79
2005,2005,"May 25, 1975","University of Minnesota, University of Central Florida","6-6","Mark Jones","G","/players/j/jonesma03.html",215,0.4,0,0,0.29,0.29,0.9,3.1,0.5,0.5,1,10,2.3,2.3,0.331,0.8,NA,11.3,0.48,5.4,0.64,3.8,2.4,60,14,78
2007,2014,"July 16, 1984","University of South Florida","6-10","Solomon Jones","F","/players/j/jonesso01.html",230,0,0.111,0,0.467,0.467,1.1,2.3,0.717,0.8,1.2,281,3,0,0,0,NA,7.3,0.505,3.7,0.693,3.6,2.5,59,9.8,82
2008,2010,"March 6, 1983","Boise State University","6-5","Coby Karl","G","/players/k/karlco01.html",215,1,0.25,0.3,0.397,0.345,0.8,2.4,0.75,0.5,0.7,24,2.4,5.6,0.371,2.1,NA,9.5,0.413,3.9,0.787,4.3,3.4,127,13.4,77
2007,2009,"March 21, 1984","University of South Carolina","6-6","Tarence Kinsey","G","/players/k/kinseta01.html",185,0.7,0.324,0.2,0.481,0.453,1.7,3.8,0.817,1.1,1.3,109,4.7,2.9,0.356,1,NA,8.2,0.421,3.4,0.737,2.5,1.8,123,9.8,78
2006,2013,"January 3, 1985","University of Missouri","6-8","Linas Kleiza","F","/players/k/kleizli01.html",245,2.8,0.335,0.9,0.502,0.435,3.1,7.1,0.763,1.6,2,409,8.7,2.8,0.287,0.8,NA,11.3,0.413,4.7,0.707,6.1,4.3,49,14.4,80
2005,2005,"December 16, 1981","University of Pittsburgh","6-0","Brandin Knight","G","/players/k/knighbr02.html",180,0,NA,0,0,0,0,1,NA,0,0,1,0,5.1,0.32,1.6,NA,9.7,0.399,3.9,0.537,3.6,1.9,127,11.3,72
2009,2018,"February 24, 1989","Ohio State University","7-0","Kosta Koufos","C","/players/k/koufoko01.html",265,0,0,0,0.537,0.537,2.6,4.9,0.587,0.6,1.1,644,5.8,1.7,0.349,0.6,NA,11.8,0.508,6,0.68,2.7,1.8,37,14.4,84
2009,2009,"March 5, 1985","University of Notre Dame","6-9","Rob Kurz","F","/players/k/kurzro01.html",232,1,0.395,0.4,0.447,0.389,1.3,3.3,0.8,1,1.3,40,3.9,1.6,0.409,0.7,NA,6,0.468,2.8,0.81,3.8,3.1,108,9.4,81
2010,2010,"May 6, 1984","University of Houston","6-2","Oliver Lafayette","G","/players/l/lafayol01.html",190,2,0.5,1,0.583,0.5,3,6,NA,0,0,1,7,7.8,0.322,2.5,NA,13.6,0.359,4.9,0.725,3.8,2.7,64,15,74
2008,2016,"September 19, 1983","Purdue University","6-9","Carl Landry","F","/players/l/landrca01.html",248,0.1,0.3,0,0.536,0.535,4.1,7.6,0.785,2.7,3.4,513,10.8,0.7,0.233,0.2,NA,10.5,0.602,6.3,0.714,7.9,5.6,64,18.4,81
2010,2010,"November 1, 1985","University of Wisconsin","6-7","Marcus Landry","F","/players/l/landrma01.html",230,1.6,0.321,0.5,0.477,0.372,0.9,2.4,0.6,0.2,0.3,18,2.4,1.5,0.361,0.5,NA,7.2,0.49,3.5,0.67,2.4,1.6,121,9.2,79
2008,2008,"September 15, 1983","University of Kansas","6-4","Keith Langford","G","/players/l/langfke01.html",215,0,NA,0,0.25,0.25,0.5,2,NA,0,0,2,1,2.3,0.328,0.8,NA,10,0.495,4.9,0.649,4.2,2.7,136,13.3,76
2008,2011,"January 25, 1985","Texas A&M University","6-3","Acie Law","G","/players/l/lawac01.html",195,0.6,0.235,0.1,0.434,0.413,1.4,3.4,0.778,0.9,1.2,188,3.9,2.6,0.357,0.9,NA,10.6,0.466,5,0.76,3.7,2.8,122,13.7,75
2010,2017,"November 3, 1987","University of North Carolina","5-11","Ty Lawson","G","/players/l/lawsoty01.html",195,2.4,0.359,0.9,0.504,0.46,4.5,9.8,0.77,2.7,3.6,551,12.7,2.6,0.403,1.1,NA,8.5,0.517,4.4,0.78,4.1,3.2,105,13.1,71
2009,2018,"October 3, 1985","Western Kentucky University","6-5","Courtney Lee","G","/players/l/leeco01.html",200,2.9,0.389,1.1,0.517,0.451,3.8,8.4,0.856,1.3,1.5,752,10,4.8,0.401,1.9,NA,13.6,0.464,6.3,0.817,3.7,3.1,127,17.6,77
2006,2017,"April 29, 1983","University of Florida","6-9","David Lee","F","/players/l/leeda02.html",245,0,0.034,0,0.536,0.535,5.5,10.3,0.772,2.5,3.2,829,13.5,0,0,0,NA,7.4,0.581,4.3,0.681,4,2.8,127,11.3,81
2009,2018,"April 1, 1988","Stanford University","7-0","Brook Lopez","C","/players/l/lopezbr01.html",275,1.2,0.334,0.4,0.516,0.502,6.9,13.8,0.789,3.7,4.7,634,17.9,0.4,0.143,0.1,NA,12.7,0.48,6.1,0.764,4.9,3.7,53,16,84
2009,2018,"April 1, 1988","Stanford University","7-0","Robin Lopez","C","/players/l/lopezro01.html",255,0,0.2,0,0.527,0.527,3.8,7.1,0.76,1.5,2,692,9,0,0.5,0,NA,6.9,0.511,3.5,0.612,3.1,1.9,67,9,84
2009,2018,"September 7, 1988","University of California, Los Angeles","6-10","Kevin Love","F","/players/l/loveke01.html",251,4.3,0.37,1.6,0.502,0.444,6,13.6,0.824,4.6,5.6,634,18.3,2.1,0.354,0.7,NA,10.4,0.559,5.8,0.767,6.6,5.1,39,17.5,82
2007,2018,"March 25, 1986","Villanova University","6-0","Kyle Lowry","G","/players/l/lowryky01.html",205,4.7,0.369,1.7,0.504,0.424,4.6,10.9,0.803,3.4,4.3,789,14.4,0.7,0.325,0.2,NA,7.1,0.449,3.2,0.737,4,2.9,57,9.5,72
2006,2017,"November 21, 1982","Baylor University, Oklahoma State University","5-11","John Lucas III","G","/players/l/lucasjo02.html",166,2,0.344,0.7,0.452,0.383,1.9,4.9,0.768,0.3,0.4,242,4.7,5.8,0.383,2.2,NA,11.9,0.445,5.3,0.869,2.4,2.1,126,14.9,71
2007,2007,"May 7, 1982","South Plains College, California State University, Fresno","6-7","Renaldo Major","F","/players/m/majorre01.html",200,0,NA,0,0.2,0.2,2,10,0.5,1,2,1,5,1.6,0.424,0.7,NA,7.3,0.477,3.5,0.795,3.2,2.6,41,10.2,79
2006,2007,"February 20, 1982","Ball State University, Oakland University","6-9","Rawle Marshall","G-F","/players/m/marshra01.html",190,0.3,0.238,0.1,0.393,0.376,0.9,2.4,0.716,0.8,1.2,63,2.7,3.4,0.311,1,NA,12.7,0.445,5.6,0.727,5.8,4.2,103,16.5,81
2009,2015,"November 20, 1984","Kansas State University","6-7","Cartier Martin","F","/players/m/martica01.html",220,2.4,0.372,0.9,0.491,0.392,1.8,4.5,0.729,0.6,0.9,243,5.1,4,0.399,1.6,NA,10.1,0.458,4.6,0.78,3.8,2.9,112,13.8,79
2005,2016,"February 1, 1983","Western Carolina University","6-7","Kevin Martin","G","/players/m/martike02.html",199,4.2,0.384,1.6,0.502,0.437,5.4,12.3,0.87,5,5.7,714,17.4,6.4,0.346,2.2,NA,15.5,0.462,7.2,0.841,8,6.8,79,23.3,79
2010,2018,"October 14, 1986","Marquette University","6-5","Wesley Matthews","G","/players/m/matthwe02.html",220,5.6,0.383,2.1,0.524,0.427,4.7,11.1,0.827,2.2,2.7,655,13.8,2.3,0.341,0.8,NA,9.1,0.444,4,0.799,5.4,4.3,127,13.2,77
2006,2015,"February 18, 1983","University of Cincinnati","6-7","Jason Maxiell","F","/players/m/maxieja01.html",260,0,0,0,0.495,0.495,2.3,4.6,0.564,1.1,2,618,5.6,0.1,0.286,0,NA,8.6,0.507,4.4,0.653,5.2,3.4,129,12.1,79
2006,2010,"April 4, 1984","University of North Carolina","6-9","Sean May","F","/players/m/mayse01.html",266,0.1,0.231,0,0.46,0.458,2.7,5.9,0.746,1.4,1.9,119,6.9,0.1,0,0,NA,11.2,0.513,5.7,0.717,6,4.3,77,15.8,81
2010,2014,"June 11, 1987","Virginia Commonwealth University","6-3","Eric Maynor","G","/players/m/maynoer01.html",175,1.2,0.35,0.4,0.442,0.392,1.6,4.2,0.721,0.6,0.8,267,4.3,3,0.37,1.1,NA,11.2,0.449,5,0.791,4.9,3.9,130,15,75
2009,2016,"November 5, 1987","University of Southern California","6-5","O.J. Mayo","G","/players/m/mayooj01.html",210,4.2,0.373,1.6,0.494,0.429,5.1,12,0.82,2,2.5,547,13.8,6.5,0.409,2.7,NA,16.2,0.442,7.2,0.803,4.6,3.7,33,20.7,77
2009,2018,"September 9, 1986","University of California, Los Angeles","6-8","Luc Mbah a Moute","F","/players/m/mbahalu01.html",230,0.9,0.336,0.3,0.483,0.455,2.5,5.4,0.661,1.2,1.8,681,6.4,0.9,0.215,0.2,NA,6.8,0.503,3.4,0.668,2.5,1.7,107,8.7,80
